work_id,title,description,genre_1,genre_2,genre_3,author,year,url
70,From Dusk Till Dawn,,Action,Comedy,Horror|Thriller,,1996,
71,Fair Game,,Action,,,,1995,
72,Kicking and Screaming,,Comedy,Drama,,,1995,
73,"Misérables, Les",,Drama,War,,,1995,
74,Bed of Roses,,Drama,Romance,,,1996,
75,Big Bully,,Comedy,Drama,,,1996,
76,Screamers,,Action,Sci-Fi,Thriller,,1995,
78,"Crossing Guard, The",,Action,Crime,Drama|Thriller,,1995,
79,"Juror, The",,Drama,Thriller,,,1996,
80,"White Balloon, The (Badkonake sefid)",,Children,Drama,,,1995,
81,Things to Do in Denver When You're Dead,,Crime,Drama,Romance,,1995,
82,Antonia's Line (Antonia),,Comedy,Drama,,,1995,
83,Once Upon a Time... When We Were Colored,,Drama,Romance,,,1995,
84,Last Summer in the Hamptons,,Comedy,Drama,,,1995,
85,Angels and Insects,,Drama,Romance,,,1995,
86,White Squall,,Action,Adventure,Drama,,1996,
87,Dunston Checks In,,Children,Comedy,,,1996,
88,Black Sheep,,Comedy,,,,1996,
89,Nick of Time,,Action,Thriller,,,1995,
90,"Journey of August King, The",,Drama,,,,1995,
92,Mary Reilly,,Drama,Horror,Thriller,,1996,
93,Vampire in Brooklyn,,Comedy,Horror,Romance,,1995,
94,Beautiful Girls,,Comedy,Drama,Romance,,1996,
95,Broken Arrow,,Action,Adventure,Thriller,,1996,
96,In the Bleak Midwinter,,Comedy,Drama,,,1995,
97,"Hate (Haine, La)",,Crime,Drama,,,1995,
100,City Hall,,Drama,Thriller,,,1996,
101,Bottle Rocket,,Adventure,Comedy,Crime|Romance,,1996,
102,Mr. Wrong,,Comedy,,,,1996,
103,Unforgettable,,Mystery,Sci-Fi,Thriller,,1996,
104,Happy Gilmore,,Comedy,,,,1996,
105,"Bridges of Madison County, The",,Drama,Romance,,,1995,
107,Muppet Treasure Island,,Adventure,Children,Comedy|Musical,,1996,
108,Catwalk,,Documentary,,,,1996,
110,Braveheart,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,Action,Drama,War,Mel Gibson,1995,"https://m.media-amazon.com/images/M/MV5BMzkzMmU0YTYtOWM3My00YzBmLWI0YzctOGYyNTkwMWE5MTJkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg"
111,Taxi Driver,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",Crime,Drama,Thriller,Martin Scorsese,1976,"https://m.media-amazon.com/images/M/MV5BM2M1MmVhNDgtNmI0YS00ZDNmLTkyNjctNTJiYTQ2N2NmYzc2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg"
112,Rumble in the Bronx (Hont faan kui),,Action,Adventure,Comedy|Crime,,1995,
113,Before and After,,Drama,Mystery,,,1996,
114,Margaret's Museum,,Drama,,,,1995,
115,"Happiness Is in the Field (Bonheur est dans le pré, Le)",,Comedy,,,,1995,
116,Anne Frank Remembered,,Documentary,,,,1995,
117,"Young Poisoner's Handbook, The",,Crime,Drama,,,1995,
118,If Lucy Fell,,Comedy,Romance,,,1996,
121,"Boys of St. Vincent, The",,Drama,,,,1992,
122,Boomerang,,Comedy,Romance,,,1992,
123,Chungking Express (Chung Hing sam lam),,Drama,Mystery,Romance,,1994,
124,"Star Maker, The (Uomo delle stelle, L')",,Drama,,,,1995,
125,Flirting With Disaster,,Comedy,,,,1996,
126,"NeverEnding Story III, The",,Adventure,Children,Fantasy,,1994,
129,Pie in the Sky,,Comedy,Romance,,,1996,
131,Frankie Starlight,,Drama,Romance,,,1995,
132,Jade,,Thriller,,,,1995,
135,Down Periscope,,Comedy,,,,1996,
137,Man of the Year,,Documentary,,,,1995,
138,"Neon Bible, The",,Drama,,,,1995,
140,Up Close and Personal,,Drama,Romance,,,1996,
141,"Birdcage, The",,Comedy,,,,1996,
144,"Brothers McMullen, The",,Comedy,,,,1995,
145,Bad Boys,,Action,Comedy,Crime|Drama|Thriller,,1995,
146,"Amazing Panda Adventure, The",,Adventure,Children,,,1995,
147,"Basketball Diaries, The",,Drama,,,,1995,
149,Amateur,,Crime,Drama,Thriller,,1994,
150,Apollo 13,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,Adventure,Drama,IMAX,Ron Howard,1995,"https://m.media-amazon.com/images/M/MV5BNjEzYjJmNzgtNDkwNy00MTQ4LTlmMWMtNzA4YjE2NjI0ZDg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg"
151,Rob Roy,,Action,Drama,Romance|War,,1995,
152,"Addiction, The",,Drama,Horror,,,1995,
153,Batman Forever,,Action,Adventure,Comedy|Crime,,1995,
154,Beauty of the Day (Belle de jour),,Drama,,,,1967,
155,Beyond Rangoon,,Adventure,Drama,War,,1995,
156,Blue in the Face,,Comedy,Drama,,,1995,
157,Canadian Bacon,,Comedy,War,,,1995,
158,Casper,,Adventure,Children,,,1995,
159,Clockers,,Crime,Drama,Mystery,,1995,
160,Congo,,Action,Adventure,Mystery|Sci-Fi,,1995,
161,Crimson Tide,,Drama,Thriller,War,,1995,
162,Crumb,,Documentary,,,,1994,
163,Desperado,,Action,Romance,Western,,1995,
164,Devil in a Blue Dress,,Crime,Film-Noir,Mystery|Thriller,,1995,
165,Die Hard: With a Vengeance,"John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building.",Action,Crime,Thriller,John McTiernan,1995,"https://m.media-amazon.com/images/M/MV5BZjI0ZWFiMmQtMjRlZi00ZmFhLWI4NmYtMjQ5YmY0MzIyMzRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
166,"Doom Generation, The",,Comedy,Crime,Drama,,1995,
168,First Knight,,Action,Drama,Romance,,1995,
169,Free Willy 2: The Adventure Home,,Adventure,Children,Drama,,1995,
170,Hackers,,Action,Adventure,Crime|Thriller,,1995,
171,Jeffrey,,Comedy,Drama,,,1995,
172,Johnny Mnemonic,,Action,Sci-Fi,Thriller,,1995,
173,Judge Dredd,,Action,Crime,Sci-Fi,,1995,
174,Jury Duty,,Comedy,,,,1995,
175,Kids,,Drama,,,,1995,
176,Living in Oblivion,,Comedy,,,,1995,
177,Lord of Illusions,,Horror,,,,1995,
178,Love & Human Remains,,Comedy,Drama,,,1993,
179,Mad Love,,Drama,Romance,,,1995,
180,Mallrats,,Comedy,Romance,,,1995,
181,Mighty Morphin Power Rangers: The Movie,,Action,Children,,,1995,
182,Moonlight and Valentino,,Drama,Romance,,,1995,
183,Mute Witness,,Comedy,Horror,Thriller,,1994,
184,Nadja,,Drama,,,,1994,
185,"Net, The",,Action,Crime,Thriller,,1995,
186,Nine Months,,Comedy,Romance,,,1995,
187,Party Girl,,Comedy,,,,1995,
188,"Prophecy, The",,Fantasy,Horror,Mystery,,1995,
190,Safe,,Thriller,,,,1995,
191,"Scarlet Letter, The",,Drama,Romance,,,1995,
193,Showgirls,,Drama,,,,1995,
194,Smoke,,Comedy,Drama,,,1995,
195,Something to Talk About,,Comedy,Drama,Romance,,1995,
196,Species,,Horror,Sci-Fi,,,1995,
198,Strange Days,,Action,Crime,Drama|Mystery|Sci-Fi|Thriller,,1995,
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",,Drama,Musical,Romance,,1964,
200,"Tie That Binds, The",,Thriller,,,,1995,
201,Three Wishes,,Drama,Fantasy,,,1995,
202,Total Eclipse,,Drama,Romance,,,1995,
203,"To Wong Foo, Thanks for Everything! Julie Newmar",,Comedy,,,,1995,
204,Under Siege 2: Dark Territory,,Action,,,,1995,
205,Unstrung Heroes,,Comedy,Drama,,,1995,
206,Unzipped,,Documentary,,,,1995,
207,"Walk in the Clouds, A",,Drama,Romance,,,1995,
208,Waterworld,,Action,Adventure,Sci-Fi,,1995,
209,White Man's Burden,,Drama,,,,1995,
210,Wild Bill,,Western,,,,1995,
211,"Browning Version, The",,Drama,,,,1994,
212,Bushwhacked,,Adventure,Comedy,Crime|Mystery,,1995,
213,Burnt by the Sun (Utomlyonnye solntsem),,Drama,,,,1994,
214,Before the Rain (Pred dozhdot),,Drama,War,,,1994,
215,Before Sunrise,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",Drama,Romance,,Richard Linklater,1995,"https://m.media-amazon.com/images/M/MV5BZDdiZTAwYzAtMDI3Ni00OTRjLTkzN2UtMGE3MDMyZmU4NTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg"
216,Billy Madison,,Comedy,,,,1995,
217,"Babysitter, The",,Drama,Thriller,,,1995,
218,Boys on the Side,,Comedy,Drama,,,1995,
219,"Cure, The",,Drama,,,,1995,
220,Castle Freak,,Horror,,,,1995,
222,Circle of Friends,,Drama,Romance,,,1995,
223,Clerks,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",Comedy,,,Kevin Smith,1994,"https://m.media-amazon.com/images/M/MV5BNzE1Njk0NmItNDhlMC00ZmFlLWI4ZTUtYTY4ZjgzNjkyMTU1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
224,Don Juan DeMarco,,Comedy,Drama,Romance,,1995,
225,Disclosure,,Drama,Thriller,,,1994,
226,Dream Man,,Thriller,,,,1995,
227,Drop Zone,,Action,Thriller,,,1994,
228,Destiny Turns on the Radio,,Comedy,,,,1995,
229,Death and the Maiden,,Drama,Thriller,,,1994,
230,Dolores Claiborne,,Drama,Thriller,,,1995,
231,Dumb & Dumber (Dumb and Dumber),,Adventure,Comedy,,,1994,
232,Eat Drink Man Woman (Yin shi nan nu),,Comedy,Drama,Romance,,1994,
233,Exotica,,Drama,,,,1994,
234,Exit to Eden,,Comedy,,,,1994,
235,Ed Wood,"Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams, despite his lack of talent.",Comedy,Drama,,Tim Burton,1994,"https://m.media-amazon.com/images/M/MV5BNTA5ZjdjNWUtZGUwNy00N2RhLWJiZmItYzFhYjU1NmYxNjY4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
236,French Kiss,,Action,Comedy,Romance,,1995,
237,Forget Paris,,Comedy,Romance,,,1995,
238,Far From Home: The Adventures of Yellow Dog,,Adventure,Children,,,1995,
239,"Goofy Movie, A",,Animation,Children,Comedy|Romance,,1995,
240,Hideaway,,Thriller,,,,1995,
241,Fluke,,Children,Drama,,,1995,
242,Farinelli: il castrato,,Drama,Musical,,,1994,
243,Gordy,,Children,Comedy,Fantasy,,1995,
245,The Glass Shield,,Crime,Drama,,,1994,
246,Hoop Dreams,,Documentary,,,,1994,
247,Heavenly Creatures,,Crime,Drama,,,1994,
248,Houseguest,,Comedy,,,,1994,
249,Immortal Beloved,,Drama,Romance,,,1994,
250,Heavyweights (Heavy Weights),,Children,Comedy,,,1995,
251,"Hunted, The",,Action,,,,1995,
252,I.Q.,,Comedy,Romance,,,1994,
253,Interview with the Vampire: The Vampire Chronicles,,Drama,Horror,,,1994,
254,Jefferson in Paris,,Drama,,,,1995,
255,"Jerky Boys, The",,Comedy,,,,1995,
256,Junior,,Comedy,Sci-Fi,,,1994,
257,Just Cause,,Mystery,Thriller,,,1995,
258,"Kid in King Arthur's Court, A",,Adventure,Children,Comedy|Fantasy|Romance,,1995,
259,Kiss of Death,,Crime,Drama,Thriller,,1995,
260,Star Wars: Episode IV - A New Hope,,Action,Adventure,Sci-Fi,,1977,
261,Little Women,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",Drama,,,Greta Gerwig,1994,"https://m.media-amazon.com/images/M/MV5BY2QzYTQyYzItMzAwYi00YjZlLThjNTUtNzMyMDdkYzJiNWM4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg"
262,"Little Princess, A",,Children,Drama,,,1995,
263,Ladybird Ladybird,,Drama,,,,1994,
265,Like Water for Chocolate (Como agua para chocolate),,Drama,Fantasy,Romance,,1992,
266,Legends of the Fall,,Drama,Romance,War|Western,,1994,
267,Major Payne,,Comedy,,,,1995,
268,Little Odessa,,Crime,Drama,,,1994,
269,My Crazy Life (Mi vida loca),,Drama,,,,1993,
270,Love Affair,,Drama,Romance,,,1994,
271,Losing Isaiah,,Drama,,,,1995,
272,"Madness of King George, The",,Comedy,Drama,,,1994,
273,Mary Shelley's Frankenstein (Frankenstein),,Drama,Horror,Sci-Fi,,1994,
274,Man of the House,,Comedy,,,,1995,
275,Mixed Nuts,,Comedy,,,,1994,
276,Milk Money,,Comedy,Romance,,,1994,
277,Miracle on 34th Street,"When a nice old man who claims to be Santa Claus is institutionalized as insane, a young lawyer decides to defend him by arguing in court that he is the real thing.",Drama,,,George Seaton,1994,"https://m.media-amazon.com/images/M/MV5BNjRkOGEwYTUtY2E5Yy00ODg4LTk2ZWItY2IyMzUxOGVhMTM1XkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_UX67_CR0,0,67,98_AL_.jpg"
278,Miami Rhapsody,,Comedy,,,,1995,
279,My Family,,Drama,,,,1995,
280,Murder in the First,,Drama,Thriller,,,1995,
281,Nobody's Fool,,Comedy,Drama,Romance,,1994,
282,Nell,,Drama,,,,1994,
283,New Jersey Drive,,Crime,Drama,,,1995,
288,Natural Born Killers,,Action,Crime,Thriller,,1994,
289,Only You,,Comedy,Romance,,,1994,
290,Once Were Warriors,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.,Crime,Drama,,Lee Tamahori,1994,"https://m.media-amazon.com/images/M/MV5BYTY4MTdjZDMtOTBiMC00MDEwLThhMjUtMjlhMjdlYTBmMzk3XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_UY98_CR1,0,67,98_AL_.jpg"
291,Poison Ivy II,,Drama,Thriller,,,1996,
292,Outbreak,,Action,Drama,Sci-Fi|Thriller,,1995,
293,Léon: The Professional (a.k.a. The Professional) (Léon),,Action,Crime,Drama|Thriller,,1994,
294,"Perez Family, The",,Comedy,Romance,,,1995,
296,Pulp Fiction,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Comedy,Crime,Drama|Thriller,Quentin Tarantino,1994,"https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR0,0,67,98_AL_.jpg"
298,Pushing Hands (Tui shou),,Drama,,,,1992,
299,Priest,,Drama,,,,1994,
300,Quiz Show,,Drama,,,,1994,
301,Picture Bride (Bijo photo),,Drama,Romance,,,1994,
302,"Queen Margot (Reine Margot, La)",,Drama,Romance,,,1994,
303,"Quick and the Dead, The",,Action,Thriller,Western,,1995,
304,Roommates,,Comedy,Drama,,,1995,
305,Ready to Wear (Pret-A-Porter),,Comedy,,,,1994,
306,Three Colors: Red (Trois couleurs: Rouge),,Drama,,,,1994,
307,Three Colors: Blue (Trois couleurs: Bleu),,Drama,,,,1993,
308,Three Colors: White (Trzy kolory: Bialy),,Comedy,Drama,,,1994,
309,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng)",,Drama,,,,1994,
312,Stuart Saves His Family,,Comedy,,,,1995,
313,"Swan Princess, The",,Animation,Children,,,1994,
314,"Secret of Roan Inish, The",,Children,Drama,Fantasy|Mystery,,1994,
315,"Specialist, The",,Action,Drama,Thriller,,1994,
316,Stargate,,Action,Adventure,Sci-Fi,,1994,
317,"Santa Clause, The",,Comedy,Drama,Fantasy,,1994,
318,"Shawshank Redemption, The",,Crime,Drama,,,1994,
319,Shallow Grave,,Comedy,Drama,Thriller,,1994,
320,Suture,,Film-Noir,Thriller,,,1993,
321,Strawberry and Chocolate (Fresa y chocolate),,Drama,,,,1993,
322,Swimming with Sharks,,Comedy,Drama,,,1995,
324,"Sum of Us, The",,Comedy,Drama,,,1994,
325,National Lampoon's Senior Trip,,Comedy,,,,1995,
326,To Live (Huozhe),,Drama,,,,1994,
327,Tank Girl,,Action,Comedy,Sci-Fi,,1995,
328,Tales from the Crypt Presents: Demon Knight,,Horror,Thriller,,,1995,
329,Star Trek: Generations,,Adventure,Drama,Sci-Fi,,1994,
330,Tales from the Hood,,Action,Crime,Horror,,1995,
331,Tom & Viv,,Drama,,,,1994,
332,Village of the Damned,,Horror,Sci-Fi,,,1995,
333,Tommy Boy,,Comedy,,,,1995,
334,Vanya on 42nd Street,,Drama,,,,1994,
335,Underneath,,Mystery,Thriller,,,1995,
336,"Walking Dead, The",,Drama,War,,,1995,
337,What's Eating Gilbert Grape,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.,Drama,,,Lasse Hallström,1993,"https://m.media-amazon.com/images/M/MV5BY2EyZDlhNjItODYzNi00Mzc3LWJjOWUtMTViODU5MTExZWMyL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg"
338,Virtuosity,,Action,Sci-Fi,Thriller,,1995,
339,While You Were Sleeping,,Comedy,Romance,,,1995,
340,"War, The",,Adventure,Drama,War,,1994,
341,Double Happiness,,Drama,,,,1994,
342,Muriel's Wedding,,Comedy,,,,1994,
343,"Baby-Sitters Club, The",,Children,,,,1995,
344,Ace Ventura: Pet Detective,,Comedy,,,,1994,
345,"Adventures of Priscilla, Queen of the Desert, The",,Comedy,Drama,,,1994,
346,Backbeat,,Drama,Musical,,,1993,
347,Bitter Moon,,Drama,Film-Noir,Romance,,1992,
348,Bullets Over Broadway,,Comedy,,,,1994,
349,Clear and Present Danger,,Action,Crime,Drama|Thriller,,1994,
350,"Client, The",,Drama,Mystery,Thriller,,1994,
351,"Corrina, Corrina",,Comedy,Drama,Romance,,1994,
352,Crooklyn,,Comedy,Drama,,,1994,
353,"Crow, The",,Action,Crime,Fantasy|Thriller,,1994,
354,Cobb,,Drama,,,,1994,
355,"Flintstones, The",,Children,Comedy,Fantasy,,1994,
356,Forrest Gump,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",Comedy,Drama,Romance|War,Robert Zemeckis,1994,"https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY98_CR0,0,67,98_AL_.jpg"
357,Four Weddings and a Funeral,,Comedy,Romance,,,1994,
358,Higher Learning,,Drama,,,,1995,
360,I Love Trouble,,Action,Comedy,,,1994,
361,It Could Happen to You,,Comedy,Drama,Romance,,1994,
362,"Jungle Book, The",,Adventure,Children,Romance,,1994,
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die)",,Documentary,,,,1993,
364,"Lion King, The",,Adventure,Animation,Children|Drama|Musical|IMAX,,1994,
365,Little Buddha,,Drama,,,,1993,
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A)",,Drama,Horror,Mystery|Thriller,,1994,
367,"Mask, The",,Action,Comedy,Crime|Fantasy,,1994,
368,Maverick,,Adventure,Comedy,Western,,1994,
369,Mrs. Parker and the Vicious Circle,,Drama,,,,1994,
370,Naked Gun 33 1/3: The Final Insult,,Action,Comedy,,,1994,
371,"Paper, The",,Comedy,Drama,,,1994,
372,Reality Bites,,Comedy,Drama,Romance,,1994,
373,Red Rock West,,Thriller,,,,1992,
374,Richie Rich,,Children,Comedy,,,1994,
375,Safe Passage,,Drama,,,,1994,
376,"River Wild, The",,Action,Thriller,,,1994,
377,Speed,,Action,Romance,Thriller,,1994,
378,Speechless,,Comedy,Romance,,,1994,
379,Timecop,,Action,Sci-Fi,Thriller,,1994,
380,True Lies,,Action,Adventure,Comedy|Romance|Thriller,,1994,
381,When a Man Loves a Woman,,Drama,Romance,,,1994,
382,Wolf,,Drama,Horror,Romance|Thriller,,1994,
383,Wyatt Earp,,Western,,,,1994,
384,Bad Company,,Action,Crime,Drama,,1995,
385,"Man of No Importance, A",,Drama,,,,1994,
386,S.F.W.,,Drama,,,,1994,
387,"Low Down Dirty Shame, A",,Action,Comedy,,,1994,
388,Boys Life,,Drama,,,,1995,
389,"Colonel Chabert, Le",,Drama,Romance,War,,1994,
390,Faster Pussycat! Kill! Kill!,,Action,Crime,Drama,,1965,
391,Jason's Lyric,,Crime,Drama,,,1994,
392,"Secret Adventures of Tom Thumb, The",,Adventure,Animation,,,1993,
393,Street Fighter,,Action,Adventure,Fantasy,,1994,
396,Fall Time,,Drama,,,,1995,
404,Brother Minister: The Assassination of Malcolm X,,Documentary,,,,1994,
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension),,Action,Fantasy,,,1994,
407,In the Mouth of Madness,,Horror,Thriller,,,1995,
408,8 Seconds,,Drama,,,,1994,
409,Above the Rim,,Crime,Drama,,,1994,
410,Addams Family Values,,Children,Comedy,Fantasy,,1993,
412,"Age of Innocence, The",,Drama,,,,1993,
413,Airheads,,Comedy,,,,1994,
414,"Air Up There, The",,Comedy,,,,1994,
415,Another Stakeout,,Comedy,Thriller,,,1993,
416,Bad Girls,,Western,,,,1994,
417,Barcelona,,Comedy,Romance,,,1994,
418,Being Human,,Drama,,,,1993,
419,"Beverly Hillbillies, The",,Comedy,,,,1993,
420,Beverly Hills Cop III,,Action,Comedy,Crime|Thriller,,1994,
421,Black Beauty,,Adventure,Children,Drama,,1994,
422,Blink,,Thriller,,,,1994,
423,Blown Away,,Action,Thriller,,,1994,
424,Blue Chips,,Drama,,,,1994,
425,Blue Sky,,Drama,Romance,,,1994,
